name,ID,isosmiles
0,1,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
1,2,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2,3,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
3,4,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
4,5,C#CCN(C)C(C)Cc1ccccc1
5,6,C#CCNC1CCc2ccccc21
6,7,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
7,8,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
8,9,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
9,10,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC=CC(O)(CC)CC)CC(O)CC1O
10,11,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
11,12,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
12,13,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1
13,14,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
14,15,C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1
15,16,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C
16,17,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
17,18,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1
18,19,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1
19,20,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O
20,21,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
21,22,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
22,23,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
23,24,CC(=O)NC1C(N=C(N)N)C=C(C(=O)O)OC1C(O)C(O)CO
24,25,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
